Mean H,Mean S,Mean V,Std H,Std S,Std V,Ratio S/H,Ratio V/S,Entropy H,Prop Kuning,Prop Hijau,Std Gray,Label,Filename
40.61378472222222,138.50416666666666,203.65699652777778,53.882176348371345,34.548483193509696,50.130862825666796,3.410273962676105,1.4704032862338312,5.119112968444824,0.07170138888888888,0.0,45.51299335253481,matang,matang-1.jpg
70.28321180555555,88.90899305555556,185.56583333333333,8.785697979663349,41.250546911693675,56.79511153039494,1.2650102082902484,2.087143337074435,5.112362384796143,1.736111111111111e-05,0.47866319444444444,57.99696514582934,mentah,mentah-1.jpg
45.75873263888889,106.50928819444445,213.7125,56.0452650807999,48.64803243259461,35.274311700899595,2.327627073037746,2.006514958063514,4.9563889503479,0.3239930555555556,0.0,41.92769906293551,matang,matang-2.jpg
40.46446180555556,114.51413194444444,152.25911458333334,6.4330786506636555,35.104709564693444,51.61390109956849,2.8299920111331405,1.3296097058230638,4.425253868103027,0.6134722222222222,0.15105902777777777,50.46817095810278,mentah,mentah-2.jpg
80.80291666666666,130.75027777777777,152.45616319444446,76.31351665875705,51.5044762745116,82.12791865607532,1.6181378963803759,1.166010154054558,5.056100845336914,0.3533159722222222,1.736111111111111e-05,51.815890681356834,matang,matang-3.jpg
154.28465277777778,81.39810763888889,212.77479166666666,38.2025633668227,51.821506219287336,44.06255311216263,0.5275839229472197,2.6140013779017788,4.9743194580078125,0.0060416666666666665,0.006805555555555555,51.856748673678915,mentah,mentah-3.jpg
146.31993055555554,165.58697916666668,204.69229166666668,64.61686741216913,47.94411500686223,48.85452614961913,1.1316774633584252,1.2361616857508033,3.766296625137329,0.005989583333333334,0.00010416666666666667,39.3963210900726,matang,matang-4.jpg
72.15045138888888,78.93859375,179.26585069444445,70.23082999961723,60.62356438822756,71.54311321925198,1.09408300696129,2.2709528947608786,5.8250627517700195,0.37741319444444443,0.00109375,68.66230569850576,mentah,mentah-4.jpg
55.40711805555556,116.77034722222223,203.68600694444444,59.95599096096289,47.521909814099814,47.252522184593566,2.1074968387666484,1.744329740781863,6.2983198165893555,0.13333333333333333,0.00421875,45.970709762892696,matang,matang-5.jpg
53.02071180555556,95.56263888888888,185.78295138888888,47.08217481812458,44.46315968782644,49.32727870684371,1.8023639745861728,1.9440958737435117,5.856174945831299,0.6571875,0.039288194444444445,47.72562167801686,mentah,mentah-5.jpg
153.28803819444445,117.37953125,195.53559027777777,53.03390787687615,46.95507975776478,44.565110574914435,0.765744835508018,1.6658404709668924,4.694122314453125,0.0014930555555555556,0.0,48.76618566984276,matang,matang-6.jpg
28.855625,119.00220486111111,183.08784722222222,9.4561298621839,28.47977252464026,50.120083489322504,4.124054274359622,1.5385247025520172,3.518904685974121,0.9808506944444444,0.0,47.434801022830364,mentah,mentah-6.jpg
58.29392361111111,32.45453125,224.67256944444443,65.20536626280376,36.99553391715,41.09467022833658,0.5567394279224623,6.922685109420377,3.6005454063415527,0.11359375,0.006145833333333333,53.49735409037632,matang,matang-7.jpg
72.71982638888889,64.11748263888889,184.40333333333334,45.74638695475637,26.32275697253453,46.31395948367571,0.8817055403700772,2.8760222170866365,6.211136341094971,0.007586805555555556,0.03163194444444444,44.941644669254124,mentah,mentah-7.jpg
47.16286458333333,77.6139236111111,218.5442013888889,48.76098757362563,54.796008768580826,15.601685641248237,1.6456571889818337,2.8157856614241026,3.6149392127990723,0.7185590277777778,0.0,23.361071535530694,matang,matang-8.jpg
86.26197916666666,48.13774305555555,192.7106076388889,62.20225644776891,23.13929331043197,38.445053033592956,0.5580411896432007,4.003315389824749,5.955920696258545,0.3530902777777778,0.0015277777777777779,34.67607771834668,mentah,mentah-8.jpg
55.758784722222224,51.45767361111111,203.10755208333333,70.33743330206967,27.0199478807196,44.13299595376373,0.9228620142788535,3.9470791887623347,5.665526390075684,0.1034375,0.00020833333333333335,41.301737208380494,matang,matang-9.jpg
59.589565972222225,79.30597222222222,174.99984375,56.741493477906324,37.4708594058148,61.684509102124096,1.3308698866927804,2.2066411492090885,5.988185882568359,0.42118055555555556,0.0008854166666666666,58.71252013495102,mentah,mentah-9.jpg
61.433819444444445,84.66850694444445,154.0940625,46.10650444436783,47.57589157941594,67.00349135407038,1.3782065632260718,1.8199688391980384,6.3375678062438965,0.29008680555555555,0.13605902777777779,63.82397196027118,mentah,mentah-10.jpg
37.51203125,115.46189236111111,178.46298611111112,44.918773849448655,43.03595846985366,59.19437805958365,3.0779954519566726,1.545643909044231,5.9834747314453125,0.17932291666666667,0.06138888888888889,44.42379625906074,matang,matang-10.jpg
